Displacement,Label
0.19905267,Damaged
0.200418017,Damaged
0.201787249,Damaged
0.203157869,Damaged
0.204530747,Damaged
0.20590917,Damaged
0.207292979,Damaged
0.208681698,Damaged
0.210074545,Damaged
0.211470421,Damaged
0.212869099,Damaged
0.214272583,Damaged
0.215679669,Damaged
0.217089347,Damaged
0.218501071,Damaged
0.219914763,Damaged
0.221330805,Damaged
0.222750033,Damaged
0.224172799,Damaged
0.225598455,Damaged
0.227026681,Damaged
0.228457609,Damaged
0.229891826,Damaged
0.231330371,Damaged
0.232774736,Damaged
0.234226865,Damaged
0.235687968,Damaged
0.237155589,Damaged
0.238628575,Damaged
0.240105945,Damaged
0.24158675,Damaged
0.24307007,Damaged
0.244555015,Damaged
0.24604178,Damaged
0.24753438,Damaged
0.249033742,Damaged
0.250540135,Damaged
0.252053558,Damaged
0.25357375,Damaged
0.255100181,Damaged
0.256632058,Damaged
0.258168321,Damaged
0.259707647,Damaged
0.261248542,Damaged
0.262791782,Damaged
0.264337401,Damaged
0.265884767,Damaged
0.267433527,Damaged
0.268983615,Damaged
0.270535245,Damaged
0.272088915,Damaged
0.273645405,Damaged
0.275205778,Damaged
0.276771382,Damaged
0.278343845,Damaged
0.279924746,Damaged
0.281514402,Damaged
0.283112716,Damaged
0.284719459,Damaged
0.286334273,Damaged
0.287956665,Damaged
0.289586015,Damaged
0.29122157,Damaged
0.292862444,Damaged
0.294508053,Damaged
0.296160679,Damaged
0.297819053,Damaged
0.299481331,Damaged
0.30114609,Damaged
0.302812333,Damaged
0.304479484,Damaged
0.30614739,Damaged
0.307816324,Damaged
0.309486979,Damaged
0.311161548,Damaged
0.312843536,Damaged
0.314531825,Damaged
0.316225168,Damaged
0.317922521,Damaged
0.319623036,Damaged
0.321326065,Damaged
0.323031162,Damaged
0.324738076,Damaged
0.32644676,Damaged
0.328157383,Damaged
0.32987138,Damaged
0.331590424,Damaged
0.333315603,Damaged
0.335047767,Damaged
0.336787519,Damaged
0.338535222,Damaged
0.340290998,Damaged
0.342054725,Damaged
0.343826039,Damaged
0.345604332,Damaged
0.347388773,Damaged
0.349179527,Damaged
0.350976914,Damaged
0.352780931,Damaged
0.354591256,Damaged
0.356407247,Damaged
0.358227941,Damaged
0.360052055,Damaged
0.361877985,Damaged
0.363706064,Damaged
0.365542672,Damaged
0.367387474,Damaged
0.36923946,Damaged
0.371097621,Damaged
0.372960947,Damaged
0.374828433,Damaged
0.376699075,Damaged
0.378571868,Damaged
0.380445875,Damaged
0.382322494,Damaged
0.384202108,Damaged
0.386084052,Damaged
0.387967821,Damaged
0.38985307,Damaged
0.391739617,Damaged
0.393627439,Damaged
0.395516672,Damaged
0.397407617,Damaged
0.399300731,Damaged
0.401196635,Damaged
0.403096108,Damaged
0.405000092,Damaged
0.406909688,Damaged
0.408826158,Damaged
0.41075092,Damaged
0.412683041,Damaged
0.414620581,Damaged
0.416563111,Damaged
0.41851026,Damaged
0.420461709,Damaged
0.422417195,Damaged
0.424376511,Damaged
0.426339505,Damaged
0.42830608,Damaged
0.430276192,Damaged
0.432249856,Damaged
0.434227138,Damaged
0.436208163,Damaged
0.438193107,Damaged
0.440182206,Damaged
0.442175746,Damaged
0.444174073,Damaged
0.446177583,Damaged
0.448186732,Damaged
0.450201958,Damaged
0.45222273,Damaged
0.454248946,Damaged
0.456280728,Damaged
0.458318131,Damaged
0.460361139,Damaged
0.462409665,Damaged
0.464463551,Damaged
0.466522569,Damaged
0.468586421,Damaged
0.470654737,Damaged
0.472727079,Damaged
0.474802936,Damaged
0.476881729,Damaged
0.478962805,Damaged
0.481045444,Damaged
0.483128854,Damaged
0.485212172,Damaged
0.487294763,Damaged
0.489379612,Damaged
0.491467011,Damaged
0.493556149,Damaged
0.495646375,Damaged
0.497737195,Damaged
0.499828277,Damaged
0.501919447,Damaged
0.50401069,Damaged
0.506102152,Damaged
0.508194136,Damaged
0.510287108,Damaged
0.51238169,Damaged
0.514478664,Damaged
0.516578973,Damaged
0.518683718,Damaged
0.52079416,Damaged
0.522911719,Damaged
0.525037695,Damaged
0.527172106,Damaged
0.529314888,Damaged
0.531466008,Damaged
0.533625437,Damaged
0.535793145,Damaged
0.537969105,Damaged
0.540153291,Damaged
0.542345679,Damaged
0.544546246,Damaged
0.546754971,Damaged
0.548971833,Damaged
0.551196816,Damaged
0.553429901,Damaged
0.555671075,Damaged
0.557920324,Damaged
0.560177275,Damaged
0.562439302,Damaged
0.56470552,Damaged
0.566975603,Damaged
0.569249351,Damaged
0.571526692,Damaged
0.57380768,Damaged
0.576092498,Damaged
0.578381456,Damaged
0.580674989,Damaged
0.582973662,Damaged
0.585278167,Damaged
0.587589321,Damaged
0.589908072,Damaged
0.592235427,Damaged
0.594569896,Damaged
0.596911104,Damaged
0.599259925,Damaged
0.6016171,Damaged
0.603983237,Damaged
0.606358815,Damaged
0.608744181,Damaged
0.61113955,Damaged
0.613545007,Damaged
0.615960505,Damaged
0.618385866,Damaged
0.62082078,Damaged
0.623264806,Damaged
0.625717372,Damaged
0.628176217,Damaged
0.630638395,Damaged
0.633105959,Damaged
0.635580769,Damaged
0.638064269,Damaged
0.640557495,Damaged
0.64306107,Damaged
0.645575203,Damaged
0.648099694,Damaged
0.650633931,Damaged
0.653176888,Damaged
0.655727129,Damaged
0.658282779,Damaged
0.660840676,Damaged
0.663400162,Damaged
0.665961836,Damaged
0.668526245,Damaged
0.671093887,Damaged
0.673665208,Damaged
0.676240605,Damaged
0.678820422,Damaged
0.681404953,Damaged
0.683994443,Damaged
0.686589084,Damaged
0.689189017,Damaged
0.691794335,Damaged
0.694405077,Damaged
0.697021267,Damaged
0.699645692,Damaged
0.702279262,Damaged
0.704920814,Damaged
0.707569314,Damaged
0.710223852,Damaged
0.712883645,Damaged
0.715548038,Damaged
0.718216503,Damaged
0.720888636,Damaged
0.723564164,Damaged
0.726242937,Damaged
0.728924934,Damaged
0.731610259,Damaged
0.734299146,Damaged
0.736991951,Damaged
0.739689161,Damaged
0.742392502,Damaged
0.745103002,Damaged
0.747819435,Damaged
0.750540692,Damaged
0.753265798,Damaged
0.75599391,Damaged
0.758724317,Damaged
0.761456438,Damaged
0.764189827,Damaged
0.766924168,Damaged
0.769659278,Damaged
0.772395106,Damaged
0.775131734,Damaged
0.777869374,Damaged
0.780608372,Damaged
0.783349204,Damaged
0.786092481,Damaged
0.788838958,Damaged
0.791589523,Damaged
0.794343936,Damaged
0.797101722,Damaged
0.799862513,Damaged
0.802626052,Damaged
0.805392187,Damaged
0.808160878,Damaged
0.81093219,Damaged
0.813706298,Damaged
0.816483486,Damaged
0.819264144,Damaged
0.822048772,Damaged
0.82483798,Damaged
0.827632482,Damaged
0.830433104,Damaged
0.833240708,Damaged
0.836053294,Damaged
0.838870787,Damaged
0.841694741,Damaged
0.844526509,Damaged
0.847367249,Damaged
0.850217917,Damaged
0.853079268,Damaged
0.855951862,Damaged
0.858836057,Damaged
0.861732012,Damaged
0.864639688,Damaged
0.867558845,Damaged
0.870489045,Damaged
0.87342965,Damaged
0.876379824,Damaged
0.879335884,Damaged
0.88229381,Damaged
0.885255071,Damaged
0.888220894,Damaged
0.891192168,Damaged
0.894169451,Damaged
0.897152965,Damaged
0.900142595,Damaged
0.903137896,Damaged
0.906138084,Damaged
0.909142044,Damaged
0.912148325,Damaged
0.915155139,Damaged
0.918161852,Damaged
0.921170658,Damaged
0.924183246,Damaged
0.927201038,Damaged
0.930225185,Damaged
0.933256573,Damaged
0.936295819,Damaged
0.939343275,Damaged
0.942399023,Damaged
0.945462878,Damaged
0.948534389,Damaged
0.951612943,Damaged
0.954698091,Damaged
0.957789381,Damaged
0.960886491,Damaged
0.963989241,Damaged
0.967097591,Damaged
0.970211644,Damaged
0.973331641,Damaged
0.976457965,Damaged
0.97959114,Damaged
0.982731831,Damaged
0.985880844,Damaged
0.989039124,Damaged
0.992206091,Damaged
0.995379205,Damaged
0.998557602,Damaged
1.001740458,Damaged
1.00492697,Damaged
1.008116356,Damaged
1.011307852,Damaged
1.014500716,Damaged
1.017694225,Damaged
1.020887678,Damaged
1.024080431,Damaged
1.02727339,Damaged
1.030467869,Damaged
1.033664766,Damaged
1.036864946,Damaged
1.040069243,Damaged
1.04327846,Damaged
1.04649337,Damaged
1.049714714,Damaged
1.052943204,Damaged
1.056179518,Damaged
1.059423672,Damaged
1.062675552,Damaged
1.065935442,Damaged
1.0692035,Damaged
1.072479768,Damaged
1.075764162,Damaged
1.079056477,Damaged
1.082356387,Damaged
1.085663444,Damaged
1.088977076,Damaged
1.092296593,Damaged
1.095621181,Damaged
1.098949902,Damaged
1.102283657,Damaged
1.105624794,Damaged
1.108971973,Damaged
1.112324007,Damaged
1.115679954,Damaged
1.119039115,Damaged
1.122401039,Damaged
1.125765517,Damaged
1.129132584,Damaged
1.132502524,Damaged
1.135875861,Damaged
1.139253368,Damaged
1.142636059,Damaged
1.146025195,Damaged
1.149422097,Damaged
1.152824513,Damaged
1.156230617,Damaged
1.159639726,Damaged
1.163051371,Damaged
1.166465305,Damaged
1.169881496,Damaged
1.173300131,Damaged
1.176721615,Damaged
1.180146571,Damaged
1.183575838,Damaged
1.187010476,Damaged
1.19045176,Damaged
1.193901186,Damaged
1.197360465,Damaged
1.200829495,Damaged
1.204301642,Damaged
1.207776035,Damaged
1.211252585,Damaged
1.214731295,Damaged
1.218212259,Damaged
1.221695662,Damaged
1.225181783,Damaged
1.228670992,Damaged
1.232163751,Damaged
1.235660612,Damaged
1.239162221,Damaged
1.242669316,Damaged
1.246181762,Damaged
1.24969847,Damaged
1.253219433,Damaged
1.256744647,Damaged
1.260274095,Damaged
1.263807752,Damaged
1.267345578,Damaged
1.270887527,Damaged
1.274433538,Damaged
1.277983541,Damaged
1.281537454,Damaged
1.285095185,Damaged
1.288656631,Damaged
1.292221677,Damaged
1.295790198,Damaged
1.299362058,Damaged
1.302937109,Damaged
1.306515194,Damaged
1.310096365,Damaged
1.313682595,Damaged
1.317274955,Damaged
1.320874046,Damaged
1.324480348,Damaged
1.328094215,Damaged
1.331715879,Damaged
1.335345449,Damaged
1.33898291,Damaged
1.342628124,Damaged
1.346280831,Damaged
1.349940646,Damaged
1.353607062,Damaged
1.357279447,Damaged
1.360957048,Damaged
1.364638988,Damaged
1.368324267,Damaged
1.37201176,Damaged
1.375700392,Damaged
1.379393122,Damaged
1.383091968,Damaged
1.38679751,Damaged
1.390510222,Damaged
1.394230473,Damaged
1.397958528,Damaged
1.401694543,Damaged
1.405438572,Damaged
1.409190563,Damaged
1.412950357,Damaged
1.416717691,Damaged
1.420492197,Damaged
1.424273401,Damaged
1.428060723,Damaged
1.431853478,Damaged
1.435651065,Damaged
1.439454424,Damaged
1.443263058,Damaged
1.447076099,Damaged
1.450892797,Damaged
1.454712517,Damaged
1.45853474,Damaged
1.462359065,Damaged
1.466185208,Damaged
1.470012999,Damaged
1.473842387,Damaged
1.477673435,Damaged
1.481506326,Damaged
1.485341356,Damaged
1.489178939,Damaged
1.493019606,Damaged
1.496864005,Damaged
1.500712898,Damaged
1.504567166,Damaged
1.508427805,Damaged
1.512295933,Damaged
1.516172817,Damaged
1.520058617,Damaged
1.523953019,Damaged
1.527855674,Damaged
1.531766194,Damaged
1.535684153,Damaged
1.539609089,Damaged
1.543540503,Damaged
1.547477857,Damaged
1.551420578,Damaged
1.555368054,Damaged
1.559319636,Damaged
1.563274638,Damaged
1.567232336,Damaged
1.571191971,Damaged
1.575152743,Damaged
1.579113817,Damaged
1.583074322,Damaged
1.587033503,Damaged
1.590996514,Damaged
1.594965193,Damaged
1.598938234,Damaged
1.602914478,Damaged
1.606892907,Damaged
1.610872649,Damaged
1.614852974,Damaged
1.618833299,Damaged
1.622813182,Damaged
1.626792328,Damaged
1.630770583,Damaged
1.634747939,Damaged
1.638724533,Damaged
1.642700644,Damaged
1.646676695,Damaged
1.650654962,Damaged
1.65463934,Damaged
1.658629427,Damaged
1.662624842,Damaged
1.666625402,Damaged
1.670631118,Damaged
1.674642195,Damaged
1.678659035,Damaged
1.682682235,Damaged
1.686712585,Damaged
1.690751072,Damaged
1.694798877,Damaged
1.698857379,Damaged
1.702926731,Damaged
1.707000447,Damaged
1.711076654,Damaged
1.715154703,Damaged
1.719234316,Damaged
1.723315589,Damaged
1.727398992,Damaged
1.731485366,Damaged
1.735575926,Damaged
1.739672262,Damaged
1.743776333,Damaged
1.747890395,Damaged
1.752013881,Damaged
1.75614616,Damaged
1.760287402,Damaged
1.764437477,Damaged
1.76859595,Damaged
1.772762084,Damaged
1.776934843,Damaged
1.781112886,Damaged
1.785294571,Damaged
1.789477954,Damaged
1.793660787,Damaged
1.797845072,Damaged
1.802034952,Damaged
1.806231058,Damaged
1.810433644,Damaged
1.814642589,Damaged
1.818857395,Damaged
1.823077189,Damaged
1.827300721,Damaged
1.831526365,Damaged
1.835752121,Damaged
1.839976861,Damaged
1.844207404,Damaged
1.848445374,Damaged
1.852690766,Damaged
1.856943356,Damaged
1.861202701,Damaged
1.865468139,Damaged
1.869738789,Damaged
1.874013551,Damaged
1.878291105,Damaged
1.882570391,Damaged
1.88685367,Damaged
1.891141472,Damaged
1.895433736,Damaged
1.899730385,Damaged
1.904031324,Damaged
1.908336439,Damaged
1.9126456,Damaged
1.916958659,Damaged
1.92127545,Damaged
1.925595788,Damaged
1.929919474,Damaged
1.934246287,Damaged
1.938575991,Damaged
1.942908332,Damaged
1.947243038,Damaged
1.951580017,Damaged
1.955920373,Damaged
1.960264521,Damaged
1.96461269,Damaged
1.968965107,Damaged
1.973321996,Damaged
1.977683577,Damaged
1.982050066,Damaged
1.986421676,Damaged
1.990798615,Damaged
1.995181089,Damaged
1.9995693,Damaged
2.003963446,Damaged
2.008363721,Damaged
2.012770318,Damaged
2.017183423,Damaged
2.02160322,Damaged
2.02602989,Damaged
2.030463609,Damaged
2.034904551,Damaged
2.039352608,Damaged
2.043804291,Damaged
2.048259337,Damaged
2.052718771,Damaged
2.057183537,Damaged
2.061654502,Damaged
2.066132456,Damaged
2.070618109,Damaged
2.075112096,Damaged
2.079614971,Damaged
2.084127213,Damaged
2.08864922,Damaged
2.093181315,Damaged
2.097723741,Damaged
2.102276664,Damaged
2.106840172,Damaged
2.111414276,Damaged
2.115998907,Damaged
2.120593901,Damaged
2.125193983,Damaged
2.129795778,Damaged
2.134400164,Damaged
2.139007896,Damaged
2.143619608,Damaged
2.148235816,Damaged
2.152856912,Damaged
2.157483169,Damaged
2.162114739,Damaged
2.166751654,Damaged
2.171393822,Damaged
2.176041034,Damaged
2.180692959,Damaged
2.185349144,Damaged
2.190009017,Damaged
2.194671247,Damaged
2.199335662,Damaged
2.204003551,Damaged
2.208676017,Damaged
2.213353972,Damaged
2.218038138,Damaged
2.222729047,Damaged
2.22742704,Damaged
2.232132268,Damaged
2.23684469,Damaged
2.241564076,Damaged
2.246290006,Damaged
2.251021867,Damaged
2.255758858,Damaged
2.260499988,Damaged
2.265244072,Damaged
2.269989738,Damaged
2.274735423,Damaged
2.279479371,Damaged
2.284221545,Damaged
2.288967239,Damaged
2.29371669,Damaged
2.298469744,Damaged
2.303226385,Damaged
2.30798673,Damaged
2.312751029,Damaged
2.317519668,Damaged
2.322293165,Damaged
2.327072175,Damaged
2.331857485,Damaged
2.336650017,Damaged
2.341450828,Damaged
2.346261108,Damaged
2.351082182,Damaged
2.355915509,Damaged
2.360762421,Damaged
2.365620717,Damaged
2.370488723,Damaged
2.375365548,Damaged
2.380250398,Damaged
2.385142587,Damaged
2.390041524,Damaged
2.394946725,Damaged
2.399857804,Damaged
2.404774479,Damaged
2.409696568,Damaged
2.414623992,Damaged
2.419556771,Damaged
2.42449503,Damaged
2.429440067,Damaged
2.434393066,Damaged
2.439353516,Damaged
2.444320921,Damaged
2.449294808,Damaged
2.454274721,Damaged
2.459260227,Damaged
2.464250913,Damaged
2.469246387,Damaged
2.474246278,Damaged
2.479250234,Damaged
2.484257926,Damaged
2.489269044,Damaged
2.494283299,Damaged
2.499300424,Damaged
2.50432017,Damaged
2.509342312,Damaged
2.514366643,Damaged
2.519392978,Damaged
2.524421152,Damaged
2.529451022,Damaged
2.534482464,Damaged
2.539515376,Damaged
2.544549676,Damaged
2.549585302,Damaged
2.554622215,Damaged
2.559660394,Damaged
2.56469984,Damaged
2.569740575,Damaged
2.574782641,Damaged
2.579826102,Damaged
2.58487104,Damaged
2.58991756,Damaged
2.594965788,Damaged
2.600015868,Damaged
2.605068661,Damaged
2.610125443,Damaged
2.615186063,Damaged
2.620250404,Damaged
2.625318418,Damaged
2.630390129,Damaged
2.635465628,Damaged
2.640545081,Damaged
2.645628719,Damaged
2.650716845,Damaged
2.655809834,Damaged
2.660908129,Damaged
2.666012243,Damaged
2.67112276,Damaged
2.676240334,Damaged
2.681365689,Damaged
2.686499618,Damaged
2.691642986,Damaged
2.696796727,Damaged
2.701961845,Damaged
2.707139414,Damaged
2.712330579,Damaged
2.717536456,Damaged
2.722751938,Damaged
2.727973463,Damaged
2.733200874,Damaged
2.738434004,Damaged
2.74367267,Damaged
2.74891668,Damaged
2.754165825,Damaged
2.759419885,Damaged
2.764678626,Damaged
2.769941804,Damaged
2.775209157,Damaged
2.780480415,Damaged
2.785755292,Damaged
2.791033489,Damaged
2.796314696,Damaged
2.801598589,Damaged
2.80688483,Damaged
2.81217307,Damaged
2.817462945,Damaged
2.82275408,Damaged
2.828046085,Damaged
2.833338559,Damaged
2.838631819,Damaged
2.843930861,Damaged
2.849236945,Damaged
2.854550251,Damaged
2.859870822,Damaged
2.865198572,Damaged
2.870533277,Damaged
2.875874583,Damaged
2.881222001,Damaged
2.88657491,Damaged
2.891932552,Damaged
2.89729404,Damaged
2.90265835,Damaged
2.908024327,Damaged
2.913390681,Damaged
2.91875599,Damaged
2.924118697,Damaged
2.929477113,Damaged
2.934829413,Damaged
2.940176496,Damaged
2.945524833,Damaged
2.950876574,Damaged
2.956233371,Damaged
2.961596575,Damaged
2.96696723,Damaged
2.972346076,Damaged
2.977733549,Damaged
2.983129779,Damaged
2.988534594,Damaged
2.993947515,Damaged
2.999367761,Damaged
3.004794243,Damaged
3.010225572,Damaged
3.015660051,Damaged
3.021095679,Damaged
3.026531985,Damaged
3.031970975,Damaged
3.037414029,Damaged
3.042862259,Damaged
3.048316508,Damaged
3.053777354,Damaged
3.059245105,Damaged
3.064719805,Damaged
3.070201228,Damaged
3.075688883,Damaged
3.081182009,Damaged
3.086679579,Damaged
3.0921803,Damaged
3.09768261,Damaged
3.103184681,Damaged
3.108684415,Damaged
3.114180216,Damaged
3.119677031,Damaged
3.125176098,Damaged
3.130677264,Damaged
3.136180421,Damaged
3.141685513,Damaged
3.147192526,Damaged
3.152701498,Damaged
3.158212512,Damaged
3.163725699,Damaged
3.169241237,Damaged
3.174759351,Damaged
3.180280315,Damaged
3.185804449,Damaged
3.191332395,Damaged
3.19686802,Damaged
3.20241255,Damaged
3.207966001,Damaged
3.213528272,Damaged
3.219099144,Damaged
3.224678278,Damaged
3.230265217,Damaged
3.235859385,Damaged
3.241460088,Damaged
3.247066512,Damaged
3.252677726,Damaged
3.258292679,Damaged
3.263910203,Damaged
3.26952901,Damaged
3.275147949,Damaged
3.280770156,Damaged
3.286397119,Damaged
3.292029052,Damaged
3.297666226,Damaged
3.303308969,Damaged
3.308957669,Damaged
3.314612771,Damaged
3.320274778,Damaged
3.32594425,Damaged
3.331621806,Damaged
3.337308123,Damaged
3.343003935,Damaged
3.348710036,Damaged
3.354427276,Damaged
3.360155832,Damaged
3.365891778,Damaged
3.371634281,Damaged
3.377383134,Damaged
3.383138034,Damaged
3.388898581,Damaged
3.39466428,Damaged
3.400434537,Damaged
3.406208663,Damaged
3.41198587,Damaged
3.417765276,Damaged
3.4235459,Damaged
3.429326666,Damaged
3.4351064,Damaged
3.44088856,Damaged
3.446676609,Damaged
3.452468709,Damaged
3.458263363,Damaged
3.464059423,Damaged
3.469856087,Damaged
3.475652901,Damaged
3.481449757,Damaged
3.487246898,Damaged
3.49304491,Damaged
3.498844728,Damaged
3.504647635,Damaged
3.510455262,Damaged
3.516269681,Damaged
3.522092016,Damaged
3.527921044,Damaged
3.533755533,Damaged
3.5395944,Damaged
3.545436717,Damaged
3.551281705,Damaged
3.557128741,Damaged
3.562977351,Damaged
3.568827216,Damaged
3.574678168,Damaged
3.580530192,Damaged
3.586383423,Damaged
3.592238153,Damaged
3.598094821,Damaged
3.603954023,Damaged
3.609816764,Damaged
3.615684723,Damaged
3.621558327,Damaged
3.627437805,Damaged
3.633323311,Damaged
3.639214925,Damaged
3.64511265,Damaged
3.651016417,Damaged
3.65692608,Damaged
3.662841419,Damaged
3.668762139,Damaged
3.67468787,Damaged
3.680618167,Damaged
3.686552512,Damaged
3.692490309,Damaged
3.698430889,Damaged
3.704373508,Damaged
3.710317348,Damaged
3.716261514,Damaged
3.722205486,Damaged
3.728152927,Damaged
3.734104529,Damaged
3.740059897,Damaged
3.746018684,Damaged
3.751980582,Damaged
3.75794533,Damaged
3.76391271,Damaged
3.769882548,Damaged
3.775854715,Damaged
3.781829122,Damaged
3.787805729,Damaged
3.793784536,Damaged
3.799765589,Damaged
3.805748976,Damaged
3.81173483,Damaged
3.817723329,Damaged
3.823714692,Damaged
3.829709184,Damaged
3.835707114,Damaged
3.841709554,Damaged
3.847718713,Damaged
3.853734135,Damaged
3.859755216,Damaged
3.865781401,Damaged
3.871812185,Damaged
